Type,Start,End,Duration,Total Energy (kcal),Active Energy (kcal),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (mi),Avg Speed(mi/hr)),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (ft),Elevation Descended (ft)
Cycling,2021-12-30 10:34:00,2021-12-30 11:24,00:50:02,770.76,676.0,182,149.09,16.06,19.26,20,0,0.0,0.0,0.0,0.0,0
Cycling,2021-12-30 10:33:00,2021-12-30 11:24,00:50:04,624.72,529.89,182,149.09,0.0,0.0,20,0,0.0,0.0,0.0,0.0,0
Walking,2021-12-30 08:41:00,2021-12-30 09:00,00:19:23,133.29,83.81,102,92.98,1.12,3.45,2020,0,0.0,0.0,0.0,14.3,0
Functional Strength Training,2021-12-29 16:41:00,2021-12-29 17:13,00:32:05,233.53,171.3,141,110.32,0.0,0.0,218,0,0.0,0.0,0.0,0.0,0
Traditional Strength Training,2021-12-29 15:54:00,2021-12-29 16:32,00:37:24,209.02,152.72,145,106.94,0.0,0.0,207,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2021-12-29 15:37:00,2021-12-29 15:47,00:10:03,68.37,52.96,110,99.06,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-12-29 14:27:00,2021-12-29 14:43,00:16:01,113.98,69.27,106,94.23,0.866,3.25,924,0,0.0,0.0,0.0,0.0,0
Walking,2021-12-29 09:00:00,2021-12-29 09:19,00:19:03,113.52,84.01,110,90.94,1.11,3.49,2037,0,0.0,0.0,2.0,8.14,0
Cycling,2021-12-28 10:31:00,2021-12-28 11:16,00:45:03,530.38,442.71,160,146.85,0.0,0.0,45,0,0.0,0.0,0.0,0.0,0
Walking,2021-12-27 17:01:00,2021-12-27 17:24,00:23:33,112.3,76.42,112,84.22,0.919,2.34,1047,0,0.0,0.0,2.0,0.0,0
Functional Strength Training,2021-12-24 10:19:00,2021-12-24 10:48,00:29:13,211.72,149.41,134,105.93,0.0,0.0,64,0,0.0,0.0,0.0,0.0,0
Walking,2021-12-24 09:27:00,2021-12-24 10:07,00:40:02,214.76,153.46,112,97.63,2.07,3.11,3597,0,0.0,0.0,0.0,65.78,0
Walking,2021-12-21 17:15:00,2021-12-21 17:56,00:40:25,294.5,212.14,131,95.53,2.38,3.54,4367,0,0.0,0.0,2.0,29.13,0
Walking,2021-12-20 08:59:00,2021-12-20 09:22,00:23:32,211.82,103.16,111,89.49,1.29,3.4,2456,0,0.0,0.0,0.0,39.67,0
Walking,2021-12-18 16:23:00,2021-12-18 16:35,00:12:09,103.76,65.79,144,97.4,0.667,3.29,484,0,0.0,0.0,2.0,13.62,0
Functional Strength Training,2021-12-18 15:13:00,2021-12-18 15:52,00:39:12,256.12,174.19,129,97.84,0.0,0.0,172,0,0.0,0.0,0.0,0.0,0
Walking,2021-12-18 13:37:00,2021-12-18 14:05,00:28:19,161.99,99.81,108,88.5,1.07,2.87,2249,0,0.0,0.0,2.0,14.4,0
Walking,2021-12-18 13:07:00,2021-12-18 13:28,00:20:29,129.56,98.17,112,94.86,1.08,3.15,2220,0,0.0,0.0,0.0,0.0,0
Yoga,2021-12-16 16:43:00,2021-12-16 16:59,00:16:02,131.11,84.61,121,97.67,0.0,0.0,14,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2021-12-16 16:23:00,2021-12-16 16:28,00:05:06,33.3,25.37,120,109.05,0.0,0.0,26,0,0.0,0.0,0.0,0.0,0
Traditional Strength Training,2021-12-16 16:06:00,2021-12-16 16:17,00:10:09,99.82,75.4,133,123.19,0.0,0.0,245,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2021-12-16 15:53:00,2021-12-16 16:03,00:10:01,79.81,64.47,137,119.48,0.0,0.0,162,0,0.0,0.0,0.0,0.0,0
Cycling,2021-12-16 11:21:00,2021-12-16 12:06,00:45:01,521.81,432.4,153,138.17,0.0,0.0,24,0,0.0,0.0,0.0,0.0,0
Walking,2021-12-16 08:22:00,2021-12-16 08:47,00:24:11,156.56,99.26,105,92.51,1.24,3.26,2344,0,0.0,0.0,1.0,38.98,0
Walking,2021-12-15 18:14:00,2021-12-15 18:30,00:16:04,64.11,64.11,0,0.0,0.619,2.31,0,0,0.0,0.0,0.0,50.1,0
Walking,2021-12-15 16:31:00,2021-12-15 16:43,00:12:31,59.99,59.99,0,0.0,0.608,2.92,0,0,0.0,0.0,0.0,16.93,0
Functional Strength Training,2021-12-15 16:05:00,2021-12-15 16:30,00:24:55,181.22,181.22,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-12-15 15:53:00,2021-12-15 16:04,00:11:01,54.35,54.35,0,0.0,0.615,3.35,0,0,0.0,0.0,0.0,11.84,0
Walking,2021-12-15 13:33:00,2021-12-15 13:49,00:15:04,41.17,41.17,0,0.0,0.578,3.31,1215,0,0.0,0.0,0.0,14.5,0
Walking,2021-12-15 08:42:00,2021-12-15 08:52,00:10:39,50.2,50.2,0,0.0,0.566,3.19,0,0,0.0,0.0,0.0,8.92,0
Walking,2021-12-14 17:14:00,2021-12-14 17:47,00:32:46,123.31,123.31,0,0.0,1.26,2.3,0,0,0.0,0.0,0.0,27.2,0
Cycling,2021-12-14 10:24:00,2021-12-14 10:57,00:32:47,423.04,360.35,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Cycling,2021-12-14 10:24:00,2021-12-14 10:57,00:32:59,469.0,469.0,0,0.0,10.6,19.28,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-12-14 08:48:00,2021-12-14 09:09,00:21:47,84.51,59.43,0,0.0,0.632,2.11,0,0,0.0,0.0,1.0,12.66,0
Traditional Strength Training,2021-12-13 17:25:00,2021-12-13 17:46,00:21:55,227.13,182.42,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2021-12-13 17:13:00,2021-12-13 17:23,00:10:00,62.0,62.0,172,121.54,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2021-12-13 17:12:00,2021-12-13 17:22,00:09:56,69.9,60.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2021-12-13 13:45:00,2021-12-13 13:55,00:10:00,62.0,62.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Traditional Strength Training,2021-12-13 13:45:00,2021-12-13 13:57,00:11:28,45.26,45.26,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-12-13 10:28:00,2021-12-13 10:39,00:11:07,50.11,50.11,0,0.0,0.615,3.32,0,0,0.0,0.0,0.0,7.41,0
Functional Strength Training,2021-12-13 10:17:00,2021-12-13 10:27,00:10:29,71.94,71.94,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-12-13 10:05:00,2021-12-13 10:17,00:11:30,49.93,49.93,0,0.0,0.604,3.15,0,0,0.0,0.0,0.0,11.65,0
Yoga,2021-12-12 19:48:00,2021-12-12 20:14,00:25:30,110.0,110.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Yoga,2021-12-12 19:47:00,2021-12-12 20:19,00:31:51,155.72,155.72,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-12-11 11:29:00,2021-12-11 11:59,00:29:26,125.52,104.72,115,104.25,1.48,3.01,0,0,0.0,0.0,0.0,9.12,0
Yoga,2021-12-11 09:52:00,2021-12-11 10:12,00:20:44,88.0,88.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Yoga,2021-12-11 09:51:00,2021-12-11 10:09,00:17:51,91.38,91.38,0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2021-12-08 14:55:00,2021-12-08 14:59,00:03:56,38.95,12.19,91,80.49,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-12-07 18:16:00,2021-12-07 18:18,00:01:31,25.74,1.58,95,84.79,0.009,0.372,0,0,0.0,0.0,0.0,0.0,0
High Intensity Interval Training,2021-12-07 06:57:00,2021-12-07 07:05,00:08:03,102.36,63.61,159,122.02,0.0,0.0,241,0,0.0,0.0,0.0,0.0,0
Walking,2021-12-06 07:33:00,2021-12-06 08:48,01:14:26,203.6,105.92,119,73.5,1.29,2.85,1783,0,0.0,0.0,3.0,40.78,0
Yoga,2021-12-05 16:31:00,2021-12-05 16:51,00:20:00,111.68,88.0,106,85.02,0.0,0.0,49,0,0.0,0.0,0.0,0.0,0
Yoga,2021-12-05 16:30:00,2021-12-05 16:51,00:20:51,152.24,101.82,122,89.67,0.0,0.0,62,0,0.0,0.0,0.0,0.0,0
Cycling,2021-12-05 16:23:00,2021-12-05 16:24,00:01:08,8.75,7.0,114,104.42,0.18,9.53,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-12-04 15:08:00,2021-12-04 15:51,00:43:15,200.97,143.1,129,100.21,1.78,2.92,3566,0,0.0,0.0,0.0,18.9,0
Walking,2021-12-03 14:02:00,2021-12-03 14:29,00:27:15,155.27,121.16,112,89.7,1.28,2.81,2211,0,0.0,0.0,0.0,10.83,0
Walking,2021-12-03 10:14:00,2021-12-03 10:38,00:24:13,166.77,65.43,110,86.11,0.62,1.54,1086,0,0.0,0.0,1.0,15.72,0
Functional Strength Training,2021-12-02 16:16:00,2021-12-02 17:07,00:51:08,267.19,170.0,114,91.93,0.0,0.0,109,0,0.0,0.0,0.0,0.0,0
Cycling,2021-12-02 09:19:00,2021-12-02 10:04,00:45:00,648.52,589.0,166,150.0,14.31,19.08,0,0,0.0,0.0,0.0,0.0,0
Cycling,2021-12-02 09:19:00,2021-12-02 10:04,00:45:06,487.1,421.41,166,150.01,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-12-02 08:37:00,2021-12-02 09:01,00:23:27,154.47,106.33,103,92.99,1.31,3.42,2019,0,0.0,0.0,0.0,34.78,0
Walking,2021-12-01 09:08:00,2021-12-01 09:35,00:27:12,163.51,110.66,105,89.72,1.37,3.07,2469,0,0.0,0.0,0.0,23.39,0
Functional Strength Training,2021-11-30 15:24:00,2021-11-30 15:36,00:11:48,79.09,48.09,116,87.67,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2021-11-30 14:16:00,2021-11-30 15:18,01:02:25,164.32,84.76,120,79.82,0.0,0.0,100,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2021-11-30 13:53:00,2021-11-30 14:03,00:10:00,69.56,62.0,106,94.39,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Traditional Strength Training,2021-11-30 13:53:00,2021-11-30 14:03,00:10:16,46.0,38.18,106,94.39,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-30 09:28:00,2021-11-30 09:51,00:23:25,166.6,125.38,110,94.92,1.34,3.42,1940,0,0.0,0.0,1.0,34.12,0
Yoga,2021-11-30 09:02:00,2021-11-30 09:22,00:20:00,111.17,88.0,116,96.1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Yoga,2021-11-30 09:01:00,2021-11-30 09:22,00:20:50,123.72,92.16,117,91.62,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Cycling,2021-11-29 10:46:00,2021-11-29 11:17,00:30:57,457.48,398.0,152,133.65,9.77,18.94,0,0,0.0,0.0,0.0,0.0,0
Cycling,2021-11-29 10:46:00,2021-11-29 11:17,00:30:57,340.18,280.7,152,133.61,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-29 08:47:00,2021-11-29 09:05,00:18:06,105.5,67.87,104,88.79,0.661,2.19,686,0,0.0,0.0,1.0,14.73,0
Functional Strength Training,2021-11-27 21:24:00,2021-11-27 21:29,00:04:34,50.08,22.11,108,96.08,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2021-11-25 15:32:00,2021-11-25 15:40,00:07:59,86.8,61.77,155,139.26,0.0,0.0,360,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2021-11-25 11:17:00,2021-11-25 11:25,00:08:08,71.82,49.29,151,135.89,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Traditional Strength Training,2021-11-25 10:39:00,2021-11-25 11:17,00:37:13,317.61,262.16,162,125.45,0.0,0.0,433,0,0.0,0.0,0.0,0.0,0
Running,2021-11-25 08:26:00,2021-11-25 09:05,00:39:23,381.83,309.11,156,140.16,3.13,4.77,5488,0,0.0,0.0,0.0,76.71,0
Walking,2021-11-23 14:09:00,2021-11-23 14:28,00:19:06,104.15,82.01,120,97.2,1.1,3.45,2076,0,0.0,0.0,1.05,27.17,0
Walking,2021-11-22 12:44:00,2021-11-22 13:19,00:35:32,201.66,137.52,138,94.57,1.73,3.53,3216,0,0.0,0.0,3.0,48.85,0
Walking,2021-11-22 07:42:00,2021-11-22 07:48,00:05:58,29.64,28.29,110,92.75,0.31,3.12,0,0,0.0,0.0,0.0,15.75,0
Walking,2021-11-21 13:56:00,2021-11-21 14:13,00:17:28,93.73,57.35,114,98.78,0.62,3.18,1366,0,0.0,0.0,2.0,26.61,0
Traditional Strength Training,2021-11-21 12:52:00,2021-11-21 13:51,00:58:17,461.78,382.06,166,123.94,0.0,0.0,200,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-21 11:11:00,2021-11-21 11:39,00:28:32,159.19,104.47,142,108.07,1.35,3.06,2650,0,0.0,0.0,2.0,51.31,0
Functional Strength Training,2021-11-20 16:44:00,2021-11-20 17:32,00:47:37,318.7,236.47,139,100.52,0.0,0.0,82,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-20 14:38:00,2021-11-20 15:05,00:26:28,187.0,141.66,122,95.04,1.58,3.57,2840,0,0.0,0.0,2.0,17.98,0
Yoga,2021-11-20 08:36:00,2021-11-20 08:56,00:20:00,111.17,88.0,119,90.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Yoga,2021-11-20 08:36:00,2021-11-20 08:57,00:20:59,131.52,80.84,119,88.59,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-20 08:06:00,2021-11-20 08:32,00:25:32,137.28,105.77,104,90.98,1.33,3.46,2444,0,0.0,0.0,2.0,40.94,0
Other,2021-11-19 20:30:00,2021-11-19 20:41,00:11:12,83.68,46.95,107,82.41,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-19 15:58:00,2021-11-19 16:13,00:14:22,96.44,55.19,118,98.92,0.599,2.5,1045,0,0.0,0.0,2.0,12.93,0
Walking,2021-11-19 11:55:00,2021-11-19 12:17,00:21:54,160.5,118.88,117,105.59,1.32,3.63,2472,0,0.0,0.0,0.0,41.8,0
Walking,2021-11-18 18:58:00,2021-11-18 19:03,00:04:53,47.15,18.77,114,99.18,0.242,2.98,0,0,0.0,0.0,0.0,0.0,0
Cycling,2021-11-18 18:11:00,2021-11-18 18:27,00:15:07,184.71,142.47,154,137.48,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Traditional Strength Training,2021-11-18 17:53:00,2021-11-18 18:03,00:10:05,52.04,36.9,101,89.37,0.0,0.0,192,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-18 08:51:00,2021-11-18 09:30,00:39:13,182.35,119.64,115,90.97,1.17,3.39,2227,0,0.0,0.0,3.0,25.52,0
Cycling,2021-11-17 15:16:00,2021-11-17 15:56,00:40:01,429.84,350.06,145,129.82,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Yoga,2021-11-17 13:23:00,2021-11-17 13:38,00:15:16,115.21,72.23,109,88.38,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-16 18:10:00,2021-11-16 18:38,00:27:34,169.44,108.54,120,91.59,1.12,3.52,1987,0,0.0,0.0,5.0,51.21,0
Walking,2021-11-16 13:40:00,2021-11-16 14:11,00:31:04,198.75,151.63,117,98.48,1.38,2.67,1789,0,0.0,0.0,3.0,671.1,0
Walking,2021-11-16 10:30:00,2021-11-16 10:39,00:08:41,80.97,47.8,137,109.22,0.432,2.98,789,0,0.0,0.0,5.0,83.2,0
Walking,2021-11-16 08:38:00,2021-11-16 09:02,00:23:54,152.58,111.81,104,89.44,1.32,3.32,1884,0,0.0,0.0,0.0,24.15,0
Yoga,2021-11-15 20:15:00,2021-11-15 20:47,00:31:28,235.83,166.61,123,94.42,0.0,0.0,9,0,0.0,0.0,0.0,0.0,0
Traditional Strength Training,2021-11-15 12:57:00,2021-11-15 14:02,01:05:14,461.32,349.04,158,119.72,0.0,0.0,350,0,0.0,0.0,4.0,0.0,0
Walking,2021-11-15 10:53:00,2021-11-15 11:26,00:33:11,248.96,177.63,106,95.07,1.89,3.43,3537,0,0.0,0.0,0.0,28.05,0
Traditional Strength Training,2021-11-14 12:57:00,2021-11-14 14:19,01:22:25,533.19,390.87,155,114.86,0.0,0.0,118,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-14 12:21:00,2021-11-14 12:44,00:22:42,135.41,101.11,117,99.47,1.33,3.5,1963,0,0.0,0.0,2.0,37.47,0
Walking,2021-11-13 14:34:00,2021-11-13 14:58,00:24:40,172.92,116.39,118,92.24,1.32,3.22,1981,0,0.0,0.0,0.0,27.43,0
Cycling,2021-11-12 16:22:00,2021-11-12 16:42,00:20:17,226.47,179.42,167,132.24,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-12 10:36:00,2021-11-12 11:01,00:24:49,165.24,107.91,105,88.84,1.34,3.36,1605,0,0.0,0.0,1.0,30.35,0
Walking,2021-11-11 11:38:00,2021-11-11 12:20,00:42:24,230.26,147.42,134,94.33,1.5,2.78,2508,0,0.0,0.0,10.0,673.39,0
Functional Strength Training,2021-11-10 10:08:00,2021-11-10 10:18,00:10:00,70.01,62.0,0,0.0,0.0,0.0,118,0,0.0,0.0,0.0,0.0,0
Traditional Strength Training,2021-11-10 10:08:00,2021-11-10 10:18,00:10:44,66.71,39.39,115,91.96,0.0,0.0,158,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-09 17:06:00,2021-11-09 17:54,00:47:21,255.22,163.07,100,78.97,2.09,2.65,4146,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-09 10:09:00,2021-11-09 10:50,00:41:08,286.85,212.3,105,93.38,2.29,3.34,4336,0,0.0,0.0,0.0,35.96,0
Cycling,2021-11-09 07:46:00,2021-11-09 08:31,00:45:06,650.76,587.0,149,133.03,14.3,19.02,0,0,0.0,0.0,0.0,0.0,0
Cycling,2021-11-09 07:45:00,2021-11-09 07:46,00:01:21,11.05,9.0,114,101.52,0.23,10.22,0,0,0.0,0.0,0.0,0.0,0
Cycling,2021-11-09 07:45:00,2021-11-09 08:31,00:46:52,420.09,348.72,149,130.36,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-08 16:49:00,2021-11-08 17:14,00:25:26,115.03,66.01,101,83.7,0.734,2.93,1430,0,0.0,0.0,0.0,0.0,0
Traditional Strength Training,2021-11-08 16:11:00,2021-11-08 16:37,00:26:41,140.71,108.84,132,94.5,0.0,0.0,206,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-08 10:53:00,2021-11-08 11:30,00:37:02,155.43,91.95,125,84.3,0.907,3.06,1688,0,0.0,0.0,7.0,673.85,0
Walking,2021-11-08 08:11:00,2021-11-08 08:23,00:11:59,124.8,61.2,137,103.73,0.67,3.35,213,0,0.0,0.0,0.0,16.01,0
Functional Strength Training,2021-11-08 08:01:00,2021-11-08 08:11,00:09:45,69.81,55.08,148,108.08,0.0,0.0,847,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-08 07:49:00,2021-11-08 08:01,00:12:17,64.13,53.06,170,89.18,0.66,3.23,392,0,0.0,0.0,0.0,9.38,0
Walking,2021-11-07 16:03:00,2021-11-07 16:27,00:24:00,154.0,105.16,110,99.14,1.21,3.02,2245,0,0.0,0.0,0.0,16.14,0
Functional Strength Training,2021-11-07 12:30:00,2021-11-07 12:52,00:21:53,149.57,102.65,126,104.26,0.0,0.0,108,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-07 12:06:00,2021-11-07 12:19,00:13:10,72.27,59.85,147,119.72,0.65,2.96,1175,0,0.0,0.0,0.0,10.2,0
Functional Strength Training,2021-11-07 11:35:00,2021-11-07 12:05,00:30:03,262.63,217.96,168,137.4,0.0,0.0,1028,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-07 11:26:00,2021-11-07 11:28,00:02:34,16.06,11.77,103,98.67,0.136,3.18,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-07 09:34:00,2021-11-07 09:34,00:00:27,70.11,2.59,115,110.0,0.03,4.07,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-06 14:29:00,2021-11-06 15:12,00:42:30,172.33,89.5,109,83.85,0.983,2.01,1377,0,0.0,0.0,1.0,17.95,0
Walking,2021-11-06 13:41:00,2021-11-06 13:50,00:09:22,63.48,36.63,109,85.47,0.436,2.79,345,0,0.0,0.0,0.0,0.0,0
Other,2021-11-06 12:36:00,2021-11-06 12:45,00:08:32,68.45,38.6,102,88.3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2021-11-06 12:23:00,2021-11-06 12:36,00:13:11,70.05,57.81,121,93.38,0.0,0.0,51,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2021-11-06 11:56:00,2021-11-06 12:16,00:20:00,146.91,124.0,116,104.34,0.0,0.0,145,0,0.0,0.0,0.0,0.0,0
Pilates,2021-11-06 11:55:00,2021-11-06 12:17,00:22:02,139.85,114.38,116,102.36,0.0,0.0,145,0,0.0,0.0,0.0,0.0,0
Cycling,2021-11-06 11:20:00,2021-11-06 11:40,00:20:00,181.58,159.37,159,131.95,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Cycling,2021-11-06 11:20:00,2021-11-06 11:40,00:20:00,265.7,236.0,159,131.96,5.96,17.88,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-06 09:48:00,2021-11-06 10:26,00:37:29,150.79,104.72,121,88.41,1.17,3.26,1609,0,0.0,0.0,1.0,36.81,0
Walking,2021-11-05 17:29:00,2021-11-05 17:36,00:06:58,40.04,36.9,165,107.02,0.366,3.15,603,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-05 17:08:00,2021-11-05 17:20,00:11:51,59.48,49.05,114,103.98,0.588,2.98,787,0,0.0,0.0,0.0,0.0,0
Traditional Strength Training,2021-11-05 16:19:00,2021-11-05 17:00,00:41:22,322.65,260.65,154,119.82,0.0,0.0,465,0,0.0,0.0,0.0,0.0,0
Rowing,2021-11-05 16:10:00,2021-11-05 16:18,00:07:06,59.07,55.87,139,139.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-05 10:55:00,2021-11-05 11:02,00:07:39,75.69,51.66,146,112.44,0.442,3.46,694,0,0.0,0.0,5.0,507.32,0
Walking,2021-11-05 10:33:00,2021-11-05 10:40,00:07:05,36.45,33.18,111,99.38,0.329,2.79,405,0,0.0,0.0,2.0,26.61,0
Walking,2021-11-05 09:00:00,2021-11-05 09:16,00:15:44,120.64,86.46,125,103.14,1.0,3.82,920,0,0.0,0.0,1.0,14.93,0
High Intensity Interval Training,2021-11-04 17:02:00,2021-11-04 17:10,00:07:46,76.6,45.45,114,103.11,0.0,0.0,75,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-04 13:07:00,2021-11-04 13:37,00:29:46,143.13,85.68,99,88.6,1.18,2.65,1598,0,0.0,0.0,0.0,11.09,0
Walking,2021-11-04 08:35:00,2021-11-04 08:56,00:20:16,138.38,114.05,173,125.54,1.12,3.33,1002,0,0.0,0.0,1.0,34.74,0
Traditional Strength Training,2021-11-03 17:38:00,2021-11-03 18:05,00:27:06,180.19,117.7,136,104.56,0.0,0.0,81,0,0.0,0.0,0.0,0.0,0
High Intensity Interval Training,2021-11-03 12:21:00,2021-11-03 12:29,00:07:52,96.37,63.72,152,127.5,0.0,0.0,146,0,0.0,0.0,0.0,0.0,0
Other,2021-11-02 21:04:00,2021-11-02 22:07,01:02:22,409.65,304.05,135,91.76,0.0,0.0,235,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-02 20:05:00,2021-11-02 20:29,00:24:39,123.65,75.08,135,98.43,0.487,1.18,234,0,0.0,0.0,3.0,43.27,0
Walking,2021-11-02 18:31:00,2021-11-02 18:54,00:23:29,169.95,121.36,131,92.54,1.43,3.65,2449,0,0.0,0.0,1.0,11.58,0
High Intensity Interval Training,2021-11-02 17:57:00,2021-11-02 18:13,00:16:15,195.11,151.91,171,138.44,0.0,0.0,505,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2021-11-02 17:40:00,2021-11-02 17:50,00:10:00,70.72,62.0,144,141.92,0.0,0.0,142,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2021-11-02 17:39:00,2021-11-02 17:50,00:10:39,63.06,54.55,140,107.39,0.0,0.0,142,0,0.0,0.0,0.0,0.0,0
High Intensity Interval Training,2021-11-01 15:22:00,2021-11-01 15:31,00:08:13,118.1,85.88,169,144.44,0.0,0.0,215,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2021-11-01 13:11:00,2021-11-01 13:51,00:39:15,211.47,160.07,129,96.9,0.0,0.0,253,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2021-11-01 12:52:00,2021-11-01 13:02,00:10:00,69.81,62.0,106,105.44,0.0,0.0,29,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2021-11-01 12:52:00,2021-11-01 13:02,00:10:00,54.04,46.48,120,104.0,0.0,0.0,29,0,0.0,0.0,0.0,0.0,0
Walking,2021-11-01 08:03:00,2021-11-01 08:28,00:24:07,132.04,92.03,104,95.31,1.33,3.44,1962,0,0.0,0.0,0.0,27.62,0
Walking,2021-10-31 15:34:00,2021-10-31 16:03,00:28:29,103.3,103.3,0,0.0,1.43,3.01,0,0,0.0,0.0,0.0,16.96,0
Walking,2021-10-31 10:39:00,2021-10-31 10:45,00:06:22,30.94,30.94,0,0.0,0.318,3.0,0,0,0.0,0.0,0.0,8.53,0
Yoga,2021-10-30 17:21:00,2021-10-30 17:31,00:10:00,46.0,46.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Yoga,2021-10-30 17:20:00,2021-10-30 17:31,00:10:17,49.88,49.88,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Yoga,2021-10-30 17:09:00,2021-10-30 17:19,00:10:00,46.0,46.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Yoga,2021-10-30 17:08:00,2021-10-30 17:19,00:10:19,51.25,51.25,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-10-30 14:24:00,2021-10-30 14:33,00:09:03,39.39,39.39,0,0.0,0.415,2.75,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-10-30 11:03:00,2021-10-30 11:13,00:10:21,49.8,49.8,0,0.0,0.579,3.35,0,0,0.0,0.0,0.0,0.0,0
Walking,2021-10-28 11:02:00,2021-10-28 11:25,00:22:42,82.56,82.56,0,0.0,1.06,2.81,0,0,0.0,0.0,0.0,15.65,0
Walking,2021-10-28 10:15:00,2021-10-28 10:34,00:18:46,61.34,61.34,0,0.0,0.729,2.33,0,0,0.0,0.0,0.0,30.38,0
Walking,2021-10-27 08:12:00,2021-10-27 08:31,00:19:03,86.5,86.5,0,0.0,1.09,3.42,0,0,0.0,0.0,0.0,8.14,0
